Date,DOI,Authors,Journal,Title
2019-01-01,doi:10.1234/journalA,Author 1,Journal A,Paper 1
2020-02-15,doi:10.5678/journalB,Author 2,Journal B,Paper 2
2021-05-20,doi:10.9012/journalC,Author 1; Author 2,Journal C,Paper 3
2022-07-10,doi:10.3456/journalD,Author 3,Journal D,Paper 4
2023-09-30,doi:10.7890/journalE,Author 4,Journal E,Paper 5
2024-11-05,doi:10.2345/journalF,Author 1; Author 3,Journal F,Paper 6
2025-03-15,doi:10.6789/journalG,Author 5,Journal G,Paper 7
2026-06-20,doi:10.1234/journalH,Author 2; Author 4,Journal H,Paper 8
2027-08-25,doi:10.4567/journalI,Author 1; Author 5,Journal I,Paper 9
2028-10-30,doi:10.8910/journalJ,Author 3; Author 4,Journal J,Paper 10
